"ID","title","bukkuaccounttype","type","productid","accountid","Account","Client","Created Date","Updated Date","Owner"
"18ba3daf-7208-46fc-8e97-43f34e898401","Topup Aircond","current_liabilities","product",4,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""4""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-21T10:17:35Z,2026-02-22T06:23:55Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"1c7e41b6-9d57-4c03-8122-a76baad3b592","Forfeit Deposit","current_liabilities","product",14,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""14""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-22T15:48:25Z,2026-02-22T06:15:18Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"26a35506-0631-4d79-9b4f-a8195b69c8ed","Stripe","current_assets",,,65,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""65"",""productId"":""""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2026-02-21T19:03:11Z,2026-02-22T06:23:35Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"3411c69c-bfec-4d35-a6b9-27929f9d5bf6","Agreement Fees","income","product",3,20,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""20"",""productId"":""3""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:43:47Z,2026-02-22T06:15:06Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"620b2d43-4b3a-448f-8a5b-99eb2c3209c7","Management Fees","current_liabilities","product",8,63,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""63"",""productId"":""8""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:43:57Z,2026-02-22T06:14:51Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"689a06cc-f770-4a82-8138-79cc02b474d1","Cash","current_assets",,,2,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""2"",""productId"":""""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2026-02-22T05:33:41Z,2026-02-22T06:26:48Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"8489794b-63a7-4c35-9edb-1403af0bda94","Platform Collection","current_liabilities",,,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2026-02-22T05:29:04Z,2026-02-22T06:26:58Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"86da59c0-992c-4e40-8efd-9d6d793eaf6a","Owner Comission","income","product",11,64,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""64"",""productId"":""11""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:48:49Z,2026-02-22T06:22:18Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"94b4e060-3999-4c76-8189-f969615c0a7d","Tenant Comission","income","product",5,58,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""58"",""productId"":""5""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:44:13Z,2026-02-22T06:23:44Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"acc54493-2adb-4171-8a02-4b0e2ec85f3b","Bank","current_assets",,,3,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""3"",""productId"":""""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2026-02-22T05:33:34Z,2026-02-22T06:26:44Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"ae94f899-7f34-4aba-b6ee-39b97496e2a3","Maintainance Fees","current_liabilities","product",13,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""13""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-21T11:40:32Z,2026-02-22T06:14:32Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"bdf3b91c-d2ca-4e42-8cc7-a5f19f271e00","Parking","current_liabilities","product",6,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""6""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:44:01Z,2026-02-22T06:22:43Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"bf502145-6ec8-45bd-a703-13c810cfe186","Other","current_liabilities","product",9,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""9""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-12-08T07:49:26Z,2026-02-22T06:18:13Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"cf4141b1-c24e-4fc1-930e-cfea4329b178","Rental Income","current_liabilities","product",1,53,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""53"",""productId"":""1""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:44:09Z,2026-02-22T06:23:19Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"d3f72d51-c791-4ef0-aeec-3ed1134e5c86","Deposit","current_liabilities","product",2,52,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""52"",""productId"":""2""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:43:52Z,2026-02-22T06:14:24Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"d553cdbe-bc6b-46c2-aba8-f71aceedaf10","Payex","current_assets",,,65,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""65"",""productId"":""""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2026-02-21T19:03:06Z,2026-02-22T06:22:55Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"e053b254-5a3c-4b82-8ba0-fd6d0df231d3","Owner Account (Payout)","current_liabilities","product",12,54,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""54"",""productId"":""12""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:43:22Z,2026-02-22T06:20:07Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
"e4fd92bb-de15-4ca0-9c6b-05e410815c58","Referal Fees","cost_of_sales","product",10,59,"[{""clientId"":""817f6510-47ac-4f8f-9828-d2fd91cb406f"",""system"":""bukku"",""accountid"":""59"",""productId"":""10""}]","[""817f6510-47ac-4f8f-9828-d2fd91cb406f""]",2025-08-17T12:44:05Z,2026-02-22T06:23:07Z,"bad279a4-e309-4354-a70f-2a1b0818317f"
